Index,CPU,GPU,RAM
939,9.1,3.0,96.2
940,12.5,2.0,96.2
941,4.0,2.0,96.2
942,4.3,2.0,96.2
943,16.7,2.0,96.3
944,17.2,2.0,96.3
945,20.6,2.0,96.1
946,11.5,2.0,96.1
947,12.5,2.0,96.1
948,4.2,2.0,96.3
949,12.5,2.0,96.6
950,9.4,2.0,96.6
951,4.2,2.0,96.7
952,0.0,2.0,96.9
953,12.8,2.0,97.0
954,8.0,2.0,97.1
955,9.4,2.0,97.1
956,6.2,2.0,97.2
957,4.7,2.0,97.0
958,0.0,2.0,96.9
959,6.2,2.0,96.7
960,6.2,2.0,96.7
961,15.4,2.0,96.7
962,6.3,2.0,96.0
963,2.0,2.0,95.6
964,5.4,2.0,95.6
965,5.0,2.0,95.6
966,12.5,2.0,95.5
967,10.0,2.0,95.5
968,0.0,2.0,95.5
969,12.8,2.0,95.5
970,3.4,2.0,95.5
971,12.5,2.0,95.4
972,0.0,2.0,95.4
973,6.9,2.0,95.3
974,8.3,2.0,95.3
975,4.2,2.0,95.3
976,12.5,2.0,95.2
977,4.2,2.0,95.2
978,8.3,2.0,95.3
979,4.2,2.0,95.3
980,4.2,2.0,95.3
981,0.0,2.0,95.3
982,0.0,2.0,95.3
983,17.4,2.0,95.3
984,21.2,2.0,95.3
985,4.8,24.0,95.3
986,4.0,24.0,95.3
987,15.8,24.0,95.3
988,7.1,24.0,95.3
989,10.0,24.0,95.3
990,8.3,24.0,95.3
991,12.5,24.0,95.3
992,7.1,24.0,95.3
