                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    111,                 1.2105,                 0.6753,                 1.1428,                0.88711,                0.87087,                 0.9235,                 0.5747,                 1.3669,                 0.6422,                 1.2615,              0.0078418,              0.0078418,              0.0078418
                    112,                 1.1909,                 0.6707,                 1.1374,                0.88755,                0.87358,                0.92463,                 0.5761,                 1.3669,                0.63796,                 1.2605,               0.007822,               0.007822,               0.007822
                    113,                 1.2051,                0.67254,                 1.1474,                0.89298,                0.87011,                 0.9226,                0.57402,                 1.3669,                0.64271,                 1.2616,              0.0078022,              0.0078022,              0.0078022
                    114,                 1.2094,                0.67569,                 1.1469,                0.89556,                0.87111,                0.92168,                0.57456,                 1.3622,                0.64087,                 1.2582,              0.0077824,              0.0077824,              0.0077824
                    115,                 1.2052,                0.66349,                   1.14,                0.90433,                 0.8639,                0.92342,                0.57546,                 1.3641,                0.64077,                  1.257,              0.0077626,              0.0077626,              0.0077626
                    116,                 1.2023,                0.65953,                 1.1355,                0.90366,                0.86351,                0.92333,                0.57571,                 1.3616,                0.63673,                 1.2558,              0.0077428,              0.0077428,              0.0077428
                    117,                 1.1951,                0.66146,                 1.1314,                0.90089,                0.86579,                0.92257,                0.57691,                 1.3604,                0.63608,                 1.2546,               0.007723,               0.007723,               0.007723
                    118,                 1.2023,                0.65896,                 1.1379,                0.89668,                0.86833,                0.92227,                0.57785,                  1.358,                0.63884,                 1.2521,              0.0077032,              0.0077032,              0.0077032
                    119,                 1.1946,                0.66453,                  1.136,                 0.8965,                0.86307,                0.92063,                 0.5763,                 1.3576,                0.64054,                 1.2527,              0.0076834,              0.0076834,              0.0076834
                    120,                 1.1972,                0.65963,                 1.1397,                0.89714,                0.86526,                0.92089,                0.57668,                  1.359,                0.63971,                 1.2526,              0.0076636,              0.0076636,              0.0076636
                    121,                 1.1905,                0.65809,                 1.1332,                0.89621,                0.86329,                0.92099,                0.57557,                 1.3619,                0.63831,                 1.2552,              0.0076438,              0.0076438,              0.0076438
                    122,                 1.1886,                0.65649,                 1.1348,                0.89666,                0.85916,                0.92095,                0.57659,                 1.3626,                0.63847,                 1.2565,               0.007624,               0.007624,               0.007624
                    123,                 1.1904,                0.65893,                 1.1385,                0.89137,                0.86735,                 0.9205,                0.57619,                 1.3634,                 0.6396,                 1.2582,              0.0076042,              0.0076042,              0.0076042
                    124,                 1.1884,                0.65457,                 1.1314,                0.89086,                0.87111,                0.92071,                0.57598,                 1.3611,                0.63685,                 1.2567,              0.0075844,              0.0075844,              0.0075844
                    125,                 1.1903,                0.65091,                 1.1331,                0.89256,                0.87104,                0.92178,                0.57613,                 1.3583,                0.63226,                  1.257,              0.0075646,              0.0075646,              0.0075646
                    126,                 1.1822,                0.65123,                 1.1239,                  0.895,                0.86519,                0.92403,                0.57774,                 1.3616,                0.63502,                 1.2578,              0.0075448,              0.0075448,              0.0075448
